BruteForce Algorithm testing
107ns | 1
12.263µs | 101
45.401µs | 201
102.618µs | 301
175.071µs | 401
274.809µs | 501
394.222µs | 601
289.586µs | 701
174.329µs | 801
672.012µs | 901




Map Algorithm testing: QUERYTIME | BUILDTIME | R, P count
86ns | 3.97µs | 1
2.096µs | 1.885451ms | 101
4.72µs | 11.87377ms | 201
7.682µs | 36.230275ms | 301
7.29µs | 70.869597ms | 401
7.617µs | 88.481196ms | 501
9.37µs | 158.391862ms | 601
11.056µs | 330.352725ms | 701
12.983µs | 539.187982ms | 801
13.952µs | 886.518528ms | 901




Segment Tree Algorithm testing: QUERYTIME | BUILDTIME | R, P count
74ns | 2.062µs | 1
1.187µs | 186.177µs | 101
2.395µs | 408.786µs | 201
4.005µs | 606.072µs | 301
5.242µs | 858.781µs | 401
7.596µs | 1.110761ms | 501
8.774µs | 1.295278ms | 601
10.432µs | 1.536501ms | 701
11.848µs | 1.87244ms | 801
16.044µs | 2.763721ms | 901
